EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0048,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0049,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0050,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0051,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0052,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0053,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0054,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0055,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,MEASURE VIA CD
valid_0056,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0057,STRIP PHOTORESIST,VIA ETCH,HARD BAKE,CLEAN AFTER VIA ETCH,FIELD OXIDE ETCH
valid_0058,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0059,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0060,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0061,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0062,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0063,STRIP PHOTORESIST,VIA ETCH,CLEAN AFTER VIA ETCH,HARD BAKE,DEPOSIT BARRIER METAL
valid_0064,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0065,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0066,PASSIVATION ETCH,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0067,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0068,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0069,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0070,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0071,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0072,PASSIVATION ETCH PAD OPENING,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0073,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0074,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0075,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0076,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0077,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0078,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0079,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0080,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0081,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0082,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0083,STRIP PHOTORESIST,VIA ETCH,HARD BAKE,CLEAN AFTER VIA ETCH,FIELD OXIDE ETCH
valid_0084,PASSIVATION ETCH PAD OPENING,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0085,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0086,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0087,VIA ETCH,HARD BAKE,STRIP RESIST,VIA OPENING INSPECTION,VIA INSPECTION
valid_0088,PAD WINDOW LITHO,OPEN PAD WINDOW,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,THERMAL OXIDATION
valid_0089,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0090,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0091,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0092,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0093,STRIP PHOTORESIST,VIA ETCH,CLEAN AFTER VIA ETCH,HARD BAKE,DEPOSIT BARRIER METAL
valid_0094,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0095,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0096,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0097,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0098,PASSIVATION ETCH PAD OPENING,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0099,FILL VIA METAL,DEPOSIT METAL SEED,CMP METAL,CMP VIA FILL,FILL VIA TUNGSTEN
valid_0100,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,PASSIVATION ETCH,BACKSIDE CLEAN
valid_0101,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0102,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0103,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0104,PASSIVATION ETCH,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0105,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0106,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0107,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN
valid_0108,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0109,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0110,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0111,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0112,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0113,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0114,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,PASSIVATION ETCH,BACKSIDE CLEAN
valid_0115,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0116,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0117,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0118,PASSIVATION ETCH PAD OPENING,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0119,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0120,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0121,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0122,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0123,FILL VIA METAL,DEPOSIT METAL SEED,CMP METAL,CMP VIA FILL,FILL VIA TUNGSTEN
valid_0124,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0125,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0126,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0127,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0128,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0129,VIA ETCH THROUGH DIELECTRIC,HARD BAKE,STRIP RESIST,VIA OPENING INSPECTION,VIA INSPECTION
valid_0130,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0131,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,MEASURE VIA CD
valid_0132,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0133,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN
valid_0134,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0135,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN
valid_0136,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0137,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0138,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0139,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0140,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0141,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0142,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0143,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN
valid_0144,PASSIVATION ETCH,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0145,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0146,PASSIVATION ETCH PAD OPENING,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0147,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0148,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0149,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0150,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0151,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0152,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0153,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0154,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0155,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0156,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0157,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0158,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0159,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0160,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0161,STRIP PHOTORESIST,VIA ETCH,HARD BAKE,CLEAN AFTER VIA ETCH,FIELD OXIDE ETCH
valid_0162,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0163,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0164,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0165,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0166,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0167,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0168,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0169,STRIP PHOTORESIST,VIA ETCH,HARD BAKE,CLEAN AFTER VIA ETCH,FIELD OXIDE ETCH
valid_0170,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0171,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN
valid_0172,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0173,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0174,PASSIVATION ETCH,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0175,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0176,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0177,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN
valid_0178,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0179,FILL VIA METAL,DEPOSIT METAL SEED,CMP METAL,CMP VIA FILL,FILL VIA TUNGSTEN
valid_0180,MEASURE PAD OPENING,BACKSIDE CLEAN,CLEAN PAD OPENING,STRIP RESIST,BACKSIDE THINNING CHECK
valid_0181,STRIP PHOTORESIST,VIA ETCH,CLEAN AFTER VIA ETCH,HARD BAKE,DEPOSIT BARRIER METAL
valid_0182,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0183,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0184,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0185,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0186,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0187,STRIP PHOTORESIST,VIA ETCH,HARD BAKE,CLEAN AFTER VIA ETCH,FIELD OXIDE ETCH
valid_0188,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0189,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0190,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0191,VIA ETCH THROUGH DIELECTRIC,HARD BAKE,STRIP RESIST,FIELD OXIDE ETCH,CLEAN AFTER VIA ETCH
