EXAMPLE_ID,FAMILY,CUT,TRUTH,naive_top1,naive_correct,trigram_top1,trigram_correct,raw_lstm_top1,raw_lstm_correct,gpt_top1,gpt_correct,dual_ensemble_top1,dual_ensemble_correct,ensemble3_top1,ensemble3_correct,ensemble_plain_top1,ensemble_plain_correct,trigram_top5,raw_lstm_top5,dual_ensemble_top5,ensemble3_top5,ensemble_plain_top5
val_0005_f60,mosfet,60,STRIP RESIST,DEVELOP PHOTORESIST,0,STRIP PHOTORESIST,0,STRIP PHOTORESIST,0,STRIP RESIST,1,STRIP PHOTORESIST,0,STRIP PHOTORESIST,0,STRIP PHOTORESIST,0,STRIP PHOTORESIST|STRIP RESIST|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,STRIP PHOTORESIST|STRIP RESIST|STRIP RESIST LEVEL 2|VIA ETCH|DIELECTRIC ETCH VIA,STRIP PHOTORESIST|STRIP RESIST|STRIP RESIST LEVEL 2|VIA ETCH|DIELECTRIC ETCH VIA,STRIP PHOTORESIST|VIA ETCH|CLEAN AFTER VIA ETCH|ETCH WET BACKSIDE|HARD BAKE,STRIP PHOTORESIST|VIA ETCH|CLEAN AFTER VIA ETCH|HARD BAKE|DEPOSIT BARRIER METAL
val_0005_f80,mosfet,80,STRIP PHOTORESIST,DEVELOP PHOTORESIST,0,STRIP RESIST,0,STRIP PHOTORESIST,1,STRIP RESIST,0,STRIP PHOTORESIST,1,STRIP PHOTORESIST,1,STRIP PHOTORESIST,1,STRIP RESIST|STRIP PHOTORESIST|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,STRIP PHOTORESIST|STRIP RESIST|STRIP RESIST LEVEL 2|PASSIVATION ETCH|PASSIVATION ETCH PAD OPENING,STRIP PHOTORESIST|STRIP RESIST|STRIP RESIST LEVEL 2|PASSIVATION ETCH|PASSIVATION ETCH PAD OPENING,STRIP PHOTORESIST|CLEAN PAD OPENING|PASSIVATION ETCH|ETCH WET BACKSIDE|HARD BAKE,STRIP PHOTORESIST|CLEAN PAD OPENING|PASSIVATION ETCH|DEVELOP PAD WINDOW|MEASURE PAD OPENING
val_0006_f60,igbt,60,SOFT BAKE,DEVELOP PHOTORESIST,0,SOFT BAKE,1,SOFT BAKE,1,SOFT BAKE,1,SOFT BAKE,1,SOFT BAKE,1,SOFT BAKE,1,SOFT BAKE|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|STRIP RESIST|STRIP PHOTORESIST,SOFT BAKE|SPIN COAT PHOTORESIST|ALIGN MASK LEVEL 5|HF DIP|MEASURE PLANARITY,SOFT BAKE|ALIGN MASK LEVEL 5|SPIN COAT PHOTORESIST|MEASURE PLANARITY|MEASURE SURFACE PLANARITY,SOFT BAKE|ALIGN MASK LEVEL 5|SPIN COAT PHOTORESIST|BREAKDOWN VOLTAGE TEST|MEASURE VIA CD,SOFT BAKE|ALIGN MASK LEVEL 5|SPIN COAT PHOTORESIST|MEASURE PLANARITY|ALIGN MASK LEVEL 3
val_0006_f80,igbt,80,MEASURE PASSIVATION THICKNESS,DEVELOP PHOTORESIST,0,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION QUALITY,0,MEASURE PASSIVATION QUALITY,0,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS|OPEN PAD WINDOW|OPEN BOND PAD WINDOW|DEPOSIT PASSIVATION LAYER,MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|OPEN PAD WINDOW|OPEN BOND PAD WINDOW|CURE PASSIVATION,MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|OPEN PAD WINDOW|CURE PASSIVATION|IMPLANT DRAIN / CATHODE REGION,MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|OPEN PAD WINDOW|CURE PASSIVATION|DEPOSIT PASSIVATION
val_0007_f60,ic,60,MEASURE VIA CD,DEVELOP PHOTORESIST,0,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD|DEPOSIT BARRIER METAL|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,MEASURE VIA CD|DEPOSIT BARRIER METAL|MEASURE SURFACE UNIFORMITY|IMPLANT SOURCE REGION|DEPOSIT TUNGSTEN SEED,MEASURE VIA CD|DEPOSIT BARRIER METAL|CLEAN AFTER VIA ETCH|DEPOSIT TUNGSTEN SEED|IMPLANT SOURCE REGION,MEASURE VIA CD|DEPOSIT BARRIER METAL|CLEAN AFTER VIA ETCH|SOFT BAKE|MEASURE CD LEVEL 2,MEASURE VIA CD|DEPOSIT BARRIER METAL|CLEAN AFTER VIA ETCH|DEPOSIT TUNGSTEN SEED|IMPLANT SOURCE REGION
val_0007_f80,ic,80,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,0,OPEN PAD WINDOW LITHO,1,PAD WINDOW LITHO,0,OPEN PAD WINDOW LITHO,1,PAD WINDOW LITHO,0,OPEN PAD WINDOW LITHO,1,OPEN PAD WINDOW LITHO,1,OPEN PAD WINDOW LITHO|PAD WINDOW LITHO|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,PAD WINDOW LITHO|OPEN PAD WINDOW LITHO|OPEN PAD WINDOW|OPEN BOND PAD WINDOW|DEVELOP PAD WINDOW,PAD WINDOW LITHO|OPEN PAD WINDOW LITHO|OPEN PAD WINDOW|OPEN BOND PAD WINDOW|DEVELOP PAD WINDOW,OPEN PAD WINDOW LITHO|DEVELOP PAD WINDOW|OPEN PAD WINDOW|DEVELOP PHOTORESIST|DEPOSIT BACKSIDE PROTECTION,OPEN PAD WINDOW LITHO|OPEN PAD WINDOW|DEVELOP PAD WINDOW|DEVELOP PHOTORESIST|THERMAL OXIDATION
val_0008_f60,ic,60,VIA ETCH THROUGH DIELECTRIC,DEVELOP PHOTORESIST,0,VIA ETCH,0,DIELECTRIC ETCH VIA,0,VIA ETCH,0,DIELECTRIC ETCH VIA,0,VIA ETCH THROUGH DIELECTRIC,1,VIA ETCH THROUGH DIELECTRIC,1,VIA ETCH|VIA ETCH THROUGH DIELECTRIC|DIELECTRIC ETCH VIA|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST,DIELECTRIC ETCH VIA|VIA ETCH|VIA ETCH THROUGH DIELECTRIC|HARD BAKE|FIELD OXIDE ETCH,DIELECTRIC ETCH VIA|VIA ETCH|VIA ETCH THROUGH DIELECTRIC|HARD BAKE|STRIP RESIST,VIA ETCH THROUGH DIELECTRIC|HARD BAKE|FIELD OXIDE ETCH|POLYSILICON ETCH DRY|CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC|HARD BAKE|FIELD OXIDE ETCH|STRIP RESIST|METAL ETCH DRY
val_0008_f80,ic,80,OPEN PAD WINDOW,DEVELOP PHOTORESIST,0,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW|OPEN BOND PAD WINDOW|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,OPEN PAD WINDOW|OPEN BOND PAD WINDOW|MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS|OPEN PAD WINDOW LITHO,OPEN PAD WINDOW|OPEN BOND PAD WINDOW|OPEN PAD WINDOW LITHO|PAD WINDOW LITHO|MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW|PAD WINDOW LITHO|MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|METAL ETCH DRY,OPEN PAD WINDOW|PAD WINDOW LITHO|MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|DEVELOP PAD WINDOW
val_0009_f60,mosfet,60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,0,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE|STRIP RESIST,DEPOSIT BARRIER METAL|MEASURE VIA CD|IMPLANT SOURCE REGION|DEPOSIT METAL SEED|DEPOSIT PASSIVATION LAYER,DEPOSIT BARRIER METAL|MEASURE VIA CD|DEPOSIT METAL SEED|IMPLANT SOURCE REGION|STRIP RESIST,DEPOSIT BARRIER METAL|MEASURE VIA CD|DEPOSIT METAL SEED|METAL ETCH|SHIP LOT,DEPOSIT BARRIER METAL|MEASURE VIA CD|DEPOSIT METAL SEED|DEPOSIT TUNGSTEN SEED|STRIP RESIST
val_0009_f80,mosfet,80,STRIP PHOTORESIST,DEVELOP PHOTORESIST,0,STRIP PHOTORESIST,1,STRIP RESIST,0,STRIP RESIST,0,STRIP RESIST,0,STRIP PHOTORESIST,1,STRIP PHOTORESIST,1,STRIP PHOTORESIST|STRIP RESIST|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,STRIP RESIST|STRIP PHOTORESIST|STRIP RESIST LEVEL 2|PASSIVATION ETCH|PASSIVATION ETCH PAD OPENING,STRIP RESIST|STRIP PHOTORESIST|STRIP RESIST LEVEL 2|PASSIVATION ETCH|PASSIVATION ETCH PAD OPENING,STRIP PHOTORESIST|CLEAN PAD OPENING|HARD BAKE|PASSIVATION ETCH|OXIDE ETCH DRY,STRIP PHOTORESIST|PASSIVATION ETCH|CLEAN PAD OPENING|DEVELOP PAD WINDOW|MEASURE PAD OPENING
val_0010_f60,igbt,60,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,0,MEASURE SURFACE PLANARITY,1,MEASURE SURFACE PLANARITY,1,MEASURE SURFACE PLANARITY,1,MEASURE SURFACE PLANARITY,1,MEASURE SURFACE PLANARITY,1,MEASURE SURFACE PLANARITY,1,MEASURE SURFACE PLANARITY|MEASURE PLANARITY|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,MEASURE SURFACE PLANARITY|MEASURE PLANARITY|SPIN COAT PHOTORESIST|CMP DIELECTRIC|CMP INTERLAYER DIELECTRIC,MEASURE SURFACE PLANARITY|MEASURE PLANARITY|SPIN COAT PHOTORESIST|CMP DIELECTRIC|CMP INTERLAYER DIELECTRIC,MEASURE SURFACE PLANARITY|CMP DIELECTRIC|EPITAXIAL DEPOSITION|SPIN COAT PHOTORESIST|CURE PASSIVATION,MEASURE SURFACE PLANARITY|CMP DIELECTRIC|SPIN COAT PHOTORESIST|MEASURE DIELECTRIC THICKNESS|SOFT BAKE
val_0010_f80,igbt,80,CURE PASSIVATION,DEVELOP PHOTORESIST,0,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE|STRIP RESIST,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS
val_0011_f60,igbt,60,MEASURE PLANARITY,DEVELOP PHOTORESIST,0,MEASURE PLANARITY,1,MEASURE PLANARITY,1,MEASURE PLANARITY,1,MEASURE PLANARITY,1,MEASURE PLANARITY,1,MEASURE PLANARITY,1,MEASURE PLANARITY|MEASURE SURFACE PLANARITY|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,MEASURE PLANARITY|MEASURE SURFACE PLANARITY|SPIN COAT PHOTORESIST|CMP INTERLAYER DIELECTRIC|CMP DIELECTRIC,MEASURE PLANARITY|MEASURE SURFACE PLANARITY|SPIN COAT PHOTORESIST|CMP INTERLAYER DIELECTRIC|CMP DIELECTRIC,MEASURE PLANARITY|CMP DIELECTRIC|SPIN COAT PHOTORESIST|INITIAL WAFER INSPECTION|EPITAXIAL DEPOSITION,MEASURE PLANARITY|CMP DIELECTRIC|SPIN COAT PHOTORESIST|SOFT BAKE|MEASURE DIELECTRIC THICKNESS
val_0011_f80,igbt,80,CURE PASSIVATION,DEVELOP PHOTORESIST,0,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE|STRIP RESIST,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS|DEPOSIT PASSIVATION,CURE PASSIVATION|MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS|DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|MEASURE PASSIVATION QUALITY|DEPOSIT PASSIVATION|MEASURE PASSIVATION THICKNESS
val_0012_f60,igbt,60,CMP INTERLAYER DIELECTRIC,DEVELOP PHOTORESIST,0,CMP DIELECTRIC,0,CMP DIELECTRIC,0,CMP DIELECTRIC,0,CMP DIELECTRIC,0,CMP DIELECTRIC,0,CMP DIELECTRIC,0,CMP DIELECTRIC|CMP INTERLAYER DIELECTRIC|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,CMP DIELECTRIC|CMP INTERLAYER DIELECTRIC|MEASURE SURFACE PLANARITY|MEASURE PLANARITY|MEASURE FILM THICKNESS,CMP DIELECTRIC|CMP INTERLAYER DIELECTRIC|MEASURE FILM THICKNESS|MEASURE DIELECTRIC THICKNESS|MEASURE SURFACE PLANARITY,CMP DIELECTRIC|MEASURE PLANARITY|ALIGN MASK LEVEL 5|EPITAXIAL LAYER PREP|MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC|MEASURE DIELECTRIC THICKNESS|MEASURE PLANARITY|DENSIFY OXIDE|DENSIFY DIELECTRIC
val_0012_f80,igbt,80,MEASURE PASSIVATION THICKNESS,DEVELOP PHOTORESIST,0,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION THICKNESS,1,MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|OPEN PAD WINDOW|OPEN BOND PAD WINDOW|DEPOSIT PASSIVATION LAYER,MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|OPEN PAD WINDOW|OPEN BOND PAD WINDOW|CURE PASSIVATION,MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|OPEN PAD WINDOW|CURE PASSIVATION|BACKSIDE METALLIZATION PREP,MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|OPEN PAD WINDOW|CURE PASSIVATION|DEPOSIT PASSIVATION
val_0013_f60,mosfet,60,DEPOSIT METAL SEED,DEVELOP PHOTORESIST,0,DEPOSIT METAL SEED,1,DEPOSIT METAL SEED,1,DEPOSIT METAL SEED,1,DEPOSIT METAL SEED,1,DEPOSIT METAL SEED,1,DEPOSIT METAL SEED,1,DEPOSIT METAL SEED|DEPOSIT TUNGSTEN SEED|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,DEPOSIT METAL SEED|DEPOSIT BARRIER METAL|DEPOSIT TUNGSTEN SEED|FILL VIA METAL|MEASURE VIA CD,DEPOSIT METAL SEED|DEPOSIT TUNGSTEN SEED|DEPOSIT BARRIER METAL|FILL VIA METAL|MEASURE VIA CD,DEPOSIT METAL SEED|DEPOSIT TUNGSTEN SEED|THRESHOLD VOLTAGE TEST|METAL ETCH|DEPOSIT BARRIER METAL,DEPOSIT METAL SEED|DEPOSIT TUNGSTEN SEED|DEPOSIT BARRIER METAL|FILL VIA METAL|MEASURE VIA CD
